placeName,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,unmarriedPartners,marriedPopulation,state,place,stateFIPS,placeFIPS,city,zip,latitude,longitude
"Acres Green CDP, Colorado",2888,1397,1491,40.8,41,40.7,2331,40,278,113,102000,39,7,31,37521,135,2275,1051,836,180,378300,2275,-666666666,2002,287,606,204,1853,1834,55938,31719,113,40,278,1816,33900,1016,2888,2888,1016,852,,2410,CO,320,8,320,ACRES GREEN,80124,39.53197,-104.89173
"Aetna Estates CDP, Colorado",1231,561,670,33.6,32.2,33.7,589,21,0,631,53832,0,35,24,17346,127,1348,437,181,225,48300,1348,1988,730,211,17,28,632,577,35625,-666666666,631,21,0,577,16330,406,1231,1231,406,364,,880,CO,620,8,620,AETNA ESTATES,80018,39.69071,-104.68096
"Air Force Academy CDP, Colorado",6368,4090,2278,20.9,21,20.8,5150,478,286,587,75750,51,0,0,17202,401,1725,621,0,607,-666666666,1725,1969,1109,74,284,238,575,516,106364,-666666666,587,478,286,4977,52240,607,1855,1855,607,543,,5532,CO,870,8,870,AIR FORCE ACADEMY,80840,39.00041,-104.85446
"Akron town, Colorado",2073,1076,997,35.7,34.5,38.7,1896,53,2,335,42500,72,20,49,25159,280,781,957,583,265,139700,781,1960,1380,424,199,48,929,918,50625,35268,335,29,2,908,19920,848,1771,1771,848,582,,1721,CO,925,8,925,AKRON,80720,40.07457,-103.18878
"Alamosa city, Colorado",9360,4486,4874,28.6,29.1,28.5,7148,81,143,5234,38000,376,412,247,20981,2149,683,4234,1477,2337,153800,683,1983,5162,1053,640,356,4757,4297,46620,-666666666,5234,32,132,4200,51855,3814,9128,9128,3814,1901,,7411,CO,1090,8,1090,ALAMOSA,81101,37.47197,-105.85243
"Applewood CDP, Colorado",8300,4020,4280,44.9,47.1,44.2,7743,70,148,983,106173,80,13,42,57774,298,1634,3355,2619,684,568700,1634,1968,6567,793,2331,1022,4895,4619,100656,38523,983,70,148,4529,106465,3303,8300,8300,3303,2070,,7037,CO,2575,8,2575,APPLEWOOD,80401,39.71672,-105.23286
"Aristocrat Ranchettes CDP, Colorado",2080,1147,933,29.5,28.9,29.6,1551,0,0,1132,60529,57,47,41,19916,240,1334,603,521,65,303300,1334,1988,1207,151,39,59,901,824,75719,21250,1132,0,0,820,28520,586,2080,2080,586,459,,1691,CO,3015,8,3015,ARISTOCRAT RANCHETTES,80621,40.10732,-104.79841
"Arvada city, Colorado",120229,59038,61191,40,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,,99243,CO,3455,8,3455,ARVADA,80001,39.8028,105.0869
"Arvada city, Colorado",120229,59038,61191,40,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,,99243,CO,3455,8,3455,ARVADA,80002,39.79405,-105.10845
"Arvada city, Colorado",120229,59038,61191,40,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,,99243,CO,3455,8,3455,ARVADA,80003,39.827,-105.06412
"Arvada city, Colorado",120229,59038,61191,40,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,,99243,CO,3455,8,3455,ARVADA,80004,39.81443,-105.12293
"Arvada city, Colorado",120229,59038,61191,40,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,,99243,CO,3455,8,3455,ARVADA,80005,39.85053,-105.13031
"Arvada city, Colorado",120229,59038,61191,40,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,,99243,CO,3455,8,3455,ARVADA,80006,39.8028,-105.0869
"Arvada city, Colorado",120229,59038,61191,40,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,,99243,CO,3455,8,3455,ARVADA,80007,39.8665,-105.19875
"Aspen city, Colorado",7721,4025,3696,40.1,40.4,39.7,6862,74,382,592,77669,86,12,90,71707,335,1671,6300,1905,1467,558000,1671,1981,5929,591,2631,723,5311,5242,52460,34549,592,68,378,5215,61575,3372,7692,7692,3372,1506,,6768,CO,3620,8,3620,ASPEN,81611,39.14561,-106.74885
"Aspen city, Colorado",7721,4025,3696,40.1,40.4,39.7,6862,74,382,592,77669,86,12,90,71707,335,1671,6300,1905,1467,558000,1671,1981,5929,591,2631,723,5311,5242,52460,34549,592,68,378,5215,61575,3372,7692,7692,3372,1506,,6768,CO,3620,8,3620,ASPEN,81612,39.05048,-106.82335
"Aspen Park CDP, Colorado",1045,598,447,38.5,37,43.8,969,0,0,54,93333,23,0,7,49077,23,1844,414,363,51,452700,1844,1977,677,125,190,77,612,589,235430,60893,54,0,0,582,15520,414,1045,1045,414,292,,781,CO,3730,8,3730,ASPEN PARK,80433,39.49636,-105.29586
"Ault town, Colorado",2153,1130,1023,33.7,32.9,34.3,1980,13,16,655,66155,31,30,33,25245,226,988,774,519,206,236900,988,1972,1491,278,164,80,1130,1079,57031,45833,655,13,16,1064,26500,725,2153,2153,725,508,,1650,CO,3950,8,3950,AULT,80610,40.66996,-104.58269
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80010,39.73979,-104.86193
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80011,39.74393,-104.78994
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80012,39.69976,-104.83784
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80013,39.66145,-104.76577
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80014,39.66353,-104.83781
